experiment,hour,date,device_make,browser,awareness
1,2,2,4,2,0
1,16,1,13,1,1
1,8,3,13,1,0
0,4,5,43,4,1
0,15,0,13,1,0
1,2,7,13,1,0
0,15,0,13,1,1
1,6,2,19,2,0
0,15,0,13,1,0
1,14,0,13,1,0
0,15,0,24,4,0
1,13,6,65,4,1
1,20,6,25,2,0
1,6,2,13,1,1
1,20,5,13,1,0
0,2,3,87,2,0
0,16,1,13,1,1
0,15,0,42,7,0
1,8,6,13,1,0
0,20,6,64,4,1
1,11,1,76,2,1
1,19,2,13,1,0
1,5,7,13,1,0
1,2,2,13,2,1
0,15,4,13,1,1
0,15,0,72,4,0
0,15,0,5,4,1
1,1,6,13,1,1
0,18,5,13,1,1
1,0,2,13,2,0
1,20,6,66,7,0
0,19,1,13,1,1
0,22,5,13,1,0
1,20,5,13,2,1
1,6,5,13,1,1
0,15,0,13,1,1
0,19,2,13,1,0
1,6,2,68,4,0
1,3,4,94,7,0
1,15,7,13,1,1
1,20,5,13,1,1
1,20,5,13,1,1
1,19,6,103,4,0
0,15,0,13,1,0
1,21,5,13,1,1
1,21,2,13,1,1
0,10,2,68,4,1
1,5,1,68,2,0
0,15,0,13,1,0
0,14,5,13,1,1
1,22,5,13,1,0
0,8,3,54,4,0
0,15,0,43,2,1
1,21,5,47,2,1
0,15,0,21,1,1
1,21,5,13,2,0
1,0,1,46,2,1
1,3,2,13,1,1
1,16,7,13,1,0
1,2,7,66,4,0
0,15,0,66,2,1
0,15,0,1,4,0
1,16,5,13,1,1
0,2,6,13,1,0
0,15,0,13,1,1
1,0,6,54,7,0
1,14,6,13,1,0
0,15,0,33,4,0
1,8,6,13,1,0
0,15,0,72,7,0
1,6,6,48,7,1
0,15,0,13,1,0
0,15,0,68,7,1
0,15,0,13,1,0
0,0,2,13,1,1
0,12,6,13,1,1
0,15,2,13,1,0
1,14,6,13,2,1
0,12,7,13,1,0
0,21,1,54,4,0
0,22,5,66,4,1
1,10,0,13,1,0
0,3,4,13,1,1
0,13,7,72,7,1
1,8,0,44,2,1
0,2,7,51,7,0
0,9,7,13,1,0
0,15,0,64,4,1
1,17,5,13,1,0
1,9,0,13,2,1
0,15,0,13,1,0
1,15,5,13,2,1
0,15,6,13,1,0
1,0,0,13,1,0
1,17,7,13,1,1
0,15,0,13,1,1
0,15,0,13,1,0
0,10,2,13,1,0
1,16,6,13,1,0
1,12,7,13,1,0
1,19,6,13,1,1
0,15,0,56,2,1
1,9,1,13,1,1
0,15,0,81,7,0
1,11,2,13,2,0
0,5,7,13,1,1
0,15,0,29,4,1
0,15,0,13,1,0
0,15,0,40,4,0
1,10,1,13,1,0
0,15,0,81,7,1
1,6,6,19,2,0
1,5,7,25,2,0
